sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
277,scored_log,1778300215.361000,1778300215.386000,11468,11517,50,0.04988684,0,benign,0.5
278,scored_log,1778300215.374000,1778300215.386000,11478,11527,50,0.15302196,0,benign,0.5
279,scored_log,1778300215.380000,1778300215.393000,11488,11537,50,0.0029724,0,benign,0.5
280,scored_log,1778300215.380000,1778300215.402000,11498,11547,50,0.0113842115,0,benign,0.5
281,scored_log,1778300215.385000,1778300215.411000,11508,11557,50,0.99527305,1,malicious,0.5
282,scored_log,1778300215.386000,1778300215.411000,11518,11567,50,0.9969805,1,malicious,0.5
283,scored_log,1778300215.387000,1778300215.415000,11528,11577,50,0.9818232,1,malicious,0.5
284,scored_log,1778300215.393000,1778300215.416000,11539,11587,50,0.98878175,1,malicious,0.5
285,scored_log,1778300215.405000,1778300215.416000,11548,11597,50,0.19714248,0,benign,0.5
286,scored_log,1778300215.411000,1778300215.428000,11558,11607,50,0.9777453,1,malicious,0.5
287,scored_log,1778300215.411000,1778300215.432000,11568,11617,50,0.9594177,1,malicious,0.5
288,scored_log,1778300215.415000,1778300215.436000,11578,11627,50,0.22639379,0,benign,0.5
