tp,tn,fp,fn,precision,recall,f1,fpr,tnr,accuracy,threshold,predicted_positive
22,661,0,99,1.0,0.18181818181818182,0.3076923076923077,0.0,1.0,0.8734015345268542,0.999574,22
23,661,0,98,1.0,0.19008264462809918,0.3194444444444444,0.0,1.0,0.8746803069053708,0.99956685,23
24,661,0,97,1.0,0.19834710743801653,0.3310344827586207,0.0,1.0,0.8759590792838875,0.999546,24
25,661,0,96,1.0,0.2066115702479339,0.34246575342465757,0.0,1.0,0.8772378516624041,0.99954337,25
26,661,0,95,1.0,0.21487603305785125,0.35374149659863946,0.0,1.0,0.8785166240409207,0.9995167,26
27,661,0,94,1.0,0.2231404958677686,0.3648648648648649,0.0,1.0,0.8797953964194374,0.99949574,27
28,661,0,93,1.0,0.23140495867768596,0.3758389261744966,0.0,1.0,0.881074168797954,0.99948055,28
29,661,0,92,1.0,0.2396694214876033,0.38666666666666666,0.0,1.0,0.8823529411764706,0.99947613,29
30,661,0,91,1.0,0.24793388429752067,0.3973509933774834,0.0,1.0,0.8836317135549873,0.9994506,30
31,661,0,90,1.0,0.256198347107438,0.4078947368421052,0.0,1.0,0.8849104859335039,0.99941623,31
32,661,0,89,1.0,0.2644628099173554,0.41830065359477125,0.0,1.0,0.8861892583120204,0.99941456,32
33,661,0,88,1.0,0.2727272727272727,0.42857142857142855,0.0,1.0,0.887468030690537,0.9994085,33
